lipid	pheno	pval	beta	std
PEER15	ADA2010_Cat	0.06264017171781369	4.3368086899420177e-16	2.3282605213704953e-16
PEER16	ADA2010_Cat	0.7942709136450358	6.808789643208968e-17	2.6107292579444415e-16
PEER17	ADA2010_Cat	0.785705882703051	2.42861286636753e-17	8.931215922066831e-17
PEER18	ADA2010_Cat	0.2844435640799142	-2.8709673527416157e-16	2.6815144322578444e-16
PEER19	ADA2010_Cat	0.41485723084578074	8.239936510889834e-17	1.0103780768541766e-16
PEER20	ADA2010_Cat	0.7877245229938981	-5.204170427930421e-17	1.9324848473669513e-16
PEER21	ADA2010_Cat	0.8833566471715756	2.0816681711721685e-17	1.4186829533351675e-16
PEER22	ADA2010_Cat	0.586117053750278	1.1449174941446927e-16	2.1024955341407992e-16
PEER23	ADA2010_Cat	0.6053434007126086	3.642919299551295e-17	7.048908383472004e-17
PEER24	ADA2010_Cat	0.47520748898483356	1.942890293094024e-16	2.7205468773364793e-16
PEER25	ADA2010_Cat	0.7617229892919919	-1.5959455978986625e-16	5.262690650413174e-16
PEER26	ADA2010_Cat	0.824370068260534	-6.331740687315346e-17	2.852722985122544e-16
PEER27	ADA2010_Cat	0.20162912209014247	-9.367506770274758e-17	7.333802733293572e-17
PEER28	ADA2010_Cat	0.09110020938231636	-1.942890293094024e-16	1.1493926389336895e-16
PEER29	ADA2010_Cat	0.4841823905008157	1.97758476261356e-16	2.8262920969967076e-16
PEER30	ADA2010_Cat	0.9301369268475812	9.540979117872439e-18	1.0881268628155167e-16
PEER31	ADA2010_Cat	0.6811088230547124	7.958043946043603e-17	1.9362398139510586e-16
PEER32	ADA2010_Cat	0.714904375086086	-1.1362438767648086e-16	3.1102327181166007e-16
PEER33	ADA2010_Cat	0.07095932019391037	2.1076890233118206e-16	1.166652834717637e-16
PEER34	ADA2010_Cat	0.4680172295488009	-8.500145032286355e-17	1.171085376351715e-16
PEER35	ADA2010_Cat	0.7673006083989039	-2.949029909160572e-17	9.964817155831369e-17
PEER36	ADA2010_Cat	0.830028531936374	-6.938893903907228e-17	3.2320454130944065e-16
PEER37	ADA2010_Cat	0.9841380662640643	3.469446951953614e-18	1.744882646489743e-16
PEER38	ADA2010_Cat	0.1480035082975096	-2.203098814490545e-16	1.5223939832948393e-16
PEER39	ADA2010_Cat	0.7845965622278798	6.852157730108388e-17	2.506575816917201e-16
PEER40	ADA2010_Cat	0.7863159638311531	-1.1102230246251565e-16	4.0947896247107734e-16
PEER41	ADA2010_Cat	0.02094963462612234	0.07921189697395618	0.034282666336886015
PEER42	ADA2010_Cat	0.7372417655775338	-0.011573183047562451	0.034490128265500006
PEER43	ADA2010_Cat	0.5763256020237956	-0.018739960791263645	0.03353348758058827
PEER44	ADA2010_Cat	0.02837945497839467	-0.07585326516858713	0.03458176466118809
PEER45	ADA2010_Cat	0.17173398027847797	0.04545377459383536	0.03324834941354761
PEER46	ADA2010_Cat	0.0007647945917341817	-0.11496651008489865	0.034115212755625506
PEER47	ADA2010_Cat	0.7066112425594857	0.012837320269393422	0.03410009217346715
PEER48	ADA2010_Cat	0.3430119652061593	-0.031761843047015285	0.03348867306202882
PEER49	ADA2010_Cat	0.001924470300152361	0.10307671099885639	0.03319280668151259
PEER50	ADA2010_Cat	0.39405670916730795	0.027650472635762688	0.032436445840508074
PEER51	ADA2010_Cat	0.577022187620208	-0.018610328822551925	0.03336244418275335
PEER52	ADA2010_Cat	0.7609249521893875	-0.010198031071958082	0.033512625885174625
PEER53	ADA2010_Cat	0.06112938581086469	-0.06229421754574601	0.03324987369047838
PEER54	ADA2010_Cat	6.060786589856065e-06	0.14713024551766798	0.03244102855585532
PEER55	ADA2010_Cat	0.38977343599441727	0.02716337615682386	0.03157804038655389
PEER56	ADA2010_Cat	0.6931960156926957	-0.012911545795409742	0.03272280271275839
PEER57	ADA2010_Cat	0.5335949326271086	-0.020105524768840304	0.03229150445796401
PEER58	ADA2010_Cat	0.01588948126422871	0.07782493186538877	0.032248181210431985
PEER59	ADA2010_Cat	0.007349971958200951	0.08825473767018426	0.03289341922989821
PEER60	ADA2010_Cat	0.015453379513157482	-0.07886877103785774	0.0325438025764488
ADA2010_Cat	ADA2010_Cat	0.0	1.000000000000001	6.145471546697131e-16
TE_kPa	ADA2010_Cat	0.8716540591366874	-0.12382210655888859	0.7658019392027257
TE_CAP_Med	ADA2010_Cat	0.0031671515077249077	20.787794418615512	6.990003779243528
FAST_Score	ADA2010_Cat	0.43732807796753914	0.012189556051156873	0.01567294247458142
agile3	ADA2010_Cat	0.00016067772782793802	0.06260926919854198	0.016386811778036275
agile4	ADA2010_Cat	0.7900787490031287	0.0027727129999757317	0.010406611759216231
VISIT	ADA2010_Cat	0.22952775588642854	0.05569839643392672	0.046341575697483955
AGE_AT_VISIT	ADA2010_Cat	0.9434988926218553	3.3306690738754696e-16	4.6989579233226905e-15
GENDER	ADA2010_Cat	0.0003559765512809601	2.0001361678012586e-15	5.592717007867504e-16
PC1	ADA2010_Cat	0.6440517328655444	8.267041565201971e-18	1.7889965377500776e-17
PC2	ADA2010_Cat	0.3406815757173566	2.3835507135736012e-17	2.50103445860421e-17
PC3	ADA2010_Cat	0.4977397270352517	-1.928524614308591e-17	2.843748505182122e-17
PC4	ADA2010_Cat	0.8155185894720796	8.740241315782204e-05	0.0003745700161450483
PC5	ADA2010_Cat	0.9737210596691174	2.56062457743684e-05	0.0007772311516742818
Sph(d18:1)	ADA2010_Cat	7.801438469664233e-06	0.07913541427007788	0.017659264935080722
Sph(d18:2)	ADA2010_Cat	0.006859168675302307	0.037211141439777905	0.01375053562449095
S1P(d16:1)	ADA2010_Cat	0.8207374266502595	0.002240374991834937	0.009885882416629554
S1P(d18:0)	ADA2010_Cat	0.5428121344453001	-0.010152048907885278	0.01667932231188658
S1P(d18:1)	ADA2010_Cat	0.8637085960789037	0.002048551381992489	0.011932709707008927
S1P(d18:2)	ADA2010_Cat	0.24994893808475807	0.011844159275043911	0.010292313716604063
dhCer(d18:0/16:0)	ADA2010_Cat	0.9008755259706052	-0.00104376270691256	0.008378939660916419
dhCer(d18:0/18:0)	ADA2010_Cat	0.3144007404097751	-0.012745489103075415	0.012666188585693823
dhCer(d18:0/20:0)	ADA2010_Cat	0.18797046739274573	-0.015333299332472003	0.011642457685337232
