lipid	pheno	pval	beta	std	fdr_pval
Sph(d18:1)	ADA2010_Cat	9.278335895648743e-06	0.0771702655408074	0.0173655918146739	0.0023462321079879864
Sph(d18:2)	ADA2010_Cat	0.0016691539046114	0.0426993686767283	0.0135662535962992	0.03848327057854061
S1P(d16:1)	ADA2010_Cat	0.2349464304011495	0.0106408142198885	0.0089566017119789	0.5651259956604335
S1P(d18:0)	ADA2010_Cat	0.5215441455019888	-0.0105046309621281	0.0163860740875761	0.7870575286666376
S1P(d18:1)	ADA2010_Cat	0.8666468074614642	-0.0019402970379074	0.0115535794348897	0.9649961700535314
S1P(d18:2)	ADA2010_Cat	0.1884373878957768	0.0128435732945104	0.0097623176940096	0.502903639721848
dhCer(d18:0/16:0)	ADA2010_Cat	0.9212898161722026	0.0007460239251208	0.0075492775975724	0.9804571532461505
dhCer(d18:0/18:0)	ADA2010_Cat	0.36689072420835	-0.0111765361155985	0.0123839669145153	0.6984387639746112
dhCer(d18:0/20:0)	ADA2010_Cat	0.1426249532650249	-0.016130606664702	0.0109985275061334	0.447314155117429
dhCer(d18:0/22:0)	ADA2010_Cat	0.4789128751511237	-0.0050246002993897	0.0070951491936838	0.7634831194407845
dhCer(d18:0/24:0)	ADA2010_Cat	0.1237054271216438	0.0103219318508134	0.0067025533222729	0.4225329403743389
dhCer(d18:0/24:1)	ADA2010_Cat	0.467663227031508	0.005694936432709	0.0078397991090918	0.7598923869942995
Cer(d16:1/16:0)	ADA2010_Cat	0.5971604305369071	-0.006114849405502	0.0115687559354202	0.8372350630838393
Cer(d16:1/18:0)	ADA2010_Cat	0.2064592661005222	0.0093966627614003	0.0074356119935595	0.5302842866297319
Cer(d16:1/20:0)	ADA2010_Cat	0.3012377113456568	0.0058079284475387	0.0056167999572003	0.6143176914420029
Cer(d16:1/22:0)	ADA2010_Cat	0.0266192266716916	0.0106203292389211	0.0047870354085317	0.21875206076736664
Cer(d16:1/23:0)	ADA2010_Cat	0.8094364441198441	0.0012848496781131	0.0053272951532359	0.9393443497840324
Cer(d16:1/24:0)	ADA2010_Cat	0.1819904452062338	0.0059507288227178	0.0044572173427949	0.49363421412148384
Cer(d16:1/24:1)	ADA2010_Cat	0.0174500841165215	0.0127919032002364	0.0053772389095226	0.17242345019896244
Cer(d17:1/16:0)	ADA2010_Cat	0.1428171700073719	-0.0142887693301048	0.0097473766267859	0.447314155117429
Cer(d17:1/18:0)	ADA2010_Cat	0.8473672051308854	0.0016748715909941	0.0087005574955729	0.9581945235131265
Cer(d17:1/20:0)	ADA2010_Cat	0.5822700876978613	-0.0051388169744636	0.0093406882036244	0.8233120490446761
Cer(d17:1/22:0)	ADA2010_Cat	0.7500817480904636	-0.00181670663788	0.0057026600308447	0.9062123011864407
Cer(d17:1/23:0)	ADA2010_Cat	0.8909834527171306	-0.0007689642804731	0.0056097700086542	0.9702336000792386
Cer(d17:1/24:0)	ADA2010_Cat	0.9831423118182818	9.711571413002772e-05	0.0045956763357222	0.9941718792906696
Cer(d17:1/24:1)	ADA2010_Cat	0.6007952369048646	0.0024682976397612	0.0047164892401342	0.8394950279983798
Cer(d18:1/16:0)	ADA2010_Cat	0.0310376743765843	-0.0130162105618234	0.0060316441647334	0.24011667553132363
Cer(d18:1/18:0)	ADA2010_Cat	0.6563314586846111	-0.0022529382088886	0.0050622715241786	0.8709704919549978
Cer(d18:1/20:0)	ADA2010_Cat	0.5644243119062625	-0.002959994789159	0.005135577259168	0.8137311491971673
Cer(d18:1/21:0)	ADA2010_Cat	0.4010969404797211	-0.0072139045525035	0.0085897415537467	0.7171643602132806
Cer(d18:1/22:0)	ADA2010_Cat	0.1717650411520154	-0.0048091191844854	0.003518000256818	0.4882362471101808
Cer(d18:1/23:0)	ADA2010_Cat	0.1792859541036239	-0.0057936848567416	0.0043127395316106	0.49363421412148384
Cer(d18:1/24:0)	ADA2010_Cat	0.8125894495722111	-0.0008186638664603	0.0034525951803955	0.9393443497840324
Cer(d18:1/24:1)	ADA2010_Cat	0.5344914254773281	-0.0020546529341547	0.003307218469915	0.7978918761621984
Cer(d18:1/26:0)	ADA2010_Cat	0.4167874561192797	-0.0071217755940265	0.0087689128015317	0.7344662177898135
Cer(d18:2/16:0)	ADA2010_Cat	0.4277766579403365	-0.0069258459558333	0.0087320748941593	0.7369721318564743
Cer(d18:2/18:0)	ADA2010_Cat	0.1528493868125477	0.0101767483655989	0.0071164188281893	0.4593918328227831
Cer(d18:2/20:0)	ADA2010_Cat	0.3722643231533399	0.0052577627590796	0.0058915543829989	0.7054323931901191
Cer(d18:2/22:0)	ADA2010_Cat	0.3977580117446965	0.003697950093372	0.0043721413779737	0.7171643602132806
Cer(d18:2/23:0)	ADA2010_Cat	0.5191241065045503	0.0031022290665272	0.004811143424313	0.786264613866381
Cer(d18:2/24:0)	ADA2010_Cat	0.8401460685073777	0.0006884298760577	0.0034126181728829	0.9552504187756744
Cer(d18:2/24:1)	ADA2010_Cat	0.5210309965743533	0.0031211784499147	0.0048627027340054	0.7870575286666376
Cer(d18:2/26:0)	ADA2010_Cat	0.8238679923053409	0.0028691461468132	0.0128892691937839	0.9471058637305165
Cer(d19:1/18:0)	ADA2010_Cat	0.0848130575924812	-0.0210369469363937	0.0122009749029554	0.346455409947113
Cer(d19:1/20:0)	ADA2010_Cat	0.0846663402799219	-0.0250481883861274	0.0145205582005446	0.346455409947113
Cer(d19:1/22:0)	ADA2010_Cat	0.1485560440766599	-0.0070001739600953	0.004843867970814	0.45831693803010815
Cer(d19:1/23:0)	ADA2010_Cat	0.2944950341194204	-0.0057081521038735	0.0054437806059252	0.6095533125165061
Cer(d19:1/24:0)	ADA2010_Cat	0.711276190563699	0.0015844642832258	0.0042801274142854	0.8937794404379129
Cer(d19:1/24:1)	ADA2010_Cat	0.98578729717617	-7.541316381462493e-05	0.0042328977798844	0.9941718792906696
Cer(d19:1/26:0)	ADA2010_Cat	0.9038008295260304	-0.0022940770083114	0.0189788512850802	0.9754937431815413
Cer(d20:1/22:0)	ADA2010_Cat	0.4429426663580551	0.0070436857023071	0.0091789560290184	0.7427119456104763
Cer(d20:1/23:0)	ADA2010_Cat	0.1645638243319645	-0.013866009030114	0.0099730193212452	0.47747154796182
Cer(d20:1/24:0)	ADA2010_Cat	0.6378422745742609	-0.0035226241767714	0.0074824682052127	0.8635386353755738
Cer(d20:1/24:1)	ADA2010_Cat	0.8901268007102494	-0.0012109440589702	0.0087648012437175	0.9702336000792386
Cer(m18:0/20:0)	ADA2010_Cat	0.6153275247078713	-0.0048015957993706	0.0095543582962889	0.8476776687004898
Cer(m18:0/22:0)	ADA2010_Cat	0.4292571723929268	0.0056234609720184	0.0071128067688439	0.7369721318564743
Cer(m18:0/23:0)	ADA2010_Cat	0.9225395158981744	-0.0007976251686837	0.0082020899618434	0.9804571532461505
Cer(m18:0/24:0)	ADA2010_Cat	0.5098113143040699	0.0043933613721479	0.006664282991995	0.7766758865695044
Cer(m18:0/24:1)	ADA2010_Cat	0.1799238021026046	0.009612507912189	0.0071659198906959	0.49363421412148384
Cer(m18:1/18:0)	ADA2010_Cat	0.7258562426720553	-0.0035171627716252	0.0100293196454019	0.8971664439050532
Cer(m18:1/20:0)	ADA2010_Cat	0.7150858153145883	-0.0024914564118095	0.0068243803413747	0.8937794404379129
Cer(m18:1/22:0)	ADA2010_Cat	0.6917603450175167	-0.0021143919071218	0.0053323731638213	0.8819678745999061
Cer(m18:1/23:0)	ADA2010_Cat	0.2117775103400169	-0.0079246016977197	0.0063444571094968	0.535079838196042
Cer(m18:1/24:0)	ADA2010_Cat	0.6522047230871619	0.0020319413139958	0.0045077756233863	0.8698178897926144
Cer(m18:1/24:1)	ADA2010_Cat	0.1012216243143333	-0.0090296614741121	0.0055070575340915	0.384223163891816
Cer1P(d18:1/16:0)	ADA2010_Cat	0.0236001970849301	-0.0388621022343071	0.0171564027810854	0.20824477764592292
HexCer(d16:1/18:0)	ADA2010_Cat	0.2259310304238805	0.0259827062540349	0.0214511599741308	0.5520661124888614
HexCer(d16:1/20:0)	ADA2010_Cat	0.3792429773668014	-0.0125729474423517	0.0142960383278995	0.7121531022951249
HexCer(d16:1/22:0)	ADA2010_Cat	0.9357179824362069	0.0005255839242136	0.0065158622492654	0.9836072241159445
HexCer(d16:1/24:0)	ADA2010_Cat	0.6874637283910277	-0.0033673471484041	0.0083691377018373	0.8805476767971496
HexCer(d18:1/16:0)	ADA2010_Cat	0.3747029713681183	0.0058537522367666	0.0065929510129932	0.7084361417666019
HexCer(d18:1/18:0)	ADA2010_Cat	0.969633906989187	-0.0003053948542703	0.0080215468355386	0.9941718792906696
HexCer(d18:1/20:0)	ADA2010_Cat	0.0039348068098463	-0.0177726345011881	0.0061573221485009	0.06531779304344858
HexCer(d18:1/22:0)	ADA2010_Cat	0.2736106378515631	-0.0042614552146967	0.0038915216063725	0.5928937791810903
HexCer(d18:1/24:0)	ADA2010_Cat	0.2787429554979439	0.0051195443596352	0.0047253665941511	0.5928937791810903
HexCer(d18:1/24:1)	ADA2010_Cat	0.159067070824947	-0.0081736665221498	0.0058022850542527	0.4715202456596644
HexCer(d18:2/18:0)	ADA2010_Cat	0.4728980933148441	0.0160509072311085	0.0223582519874422	0.7598923869942995
HexCer(d18:2/20:0)	ADA2010_Cat	0.574441641110135	-0.0072531673273661	0.0129150273504123	0.8167544862831634
HexCer(d18:2/22:0)	ADA2010_Cat	0.2545610233652594	-0.0050718846281344	0.0044504229334418	0.5772831950632931
HexCer(d18:2/24:0)	ADA2010_Cat	0.3262802166717129	0.00477394213997	0.0048621664191694	0.6494306470923783
Hex2Cer(d16:1/16:0)	ADA2010_Cat	0.908726239430536	0.001216316148774	0.010608149341956	0.9786935687665042
Hex2Cer(d16:1/24:1)	ADA2010_Cat	0.7151493879504914	-0.0061773477572514	0.0169244014642089	0.8937794404379129
Hex2Cer(d18:1/16:0)	ADA2010_Cat	0.924937290351489	0.0007088219972914	0.0075224731892775	0.9804571532461505
Hex2Cer(d18:1/20:0)	ADA2010_Cat	0.1558584140635208	-0.0161196208670188	0.0113548064453197	0.46533267508173476
Hex2Cer(d18:1/22:0)	ADA2010_Cat	0.7575316093701719	0.0018447435989358	0.0059746342064812	0.9103655722760847
Hex2Cer(d18:1/24:0)	ADA2010_Cat	0.893423256082759	0.0007908249732932	0.0059021423019262	0.9706037991475
Hex2Cer(d18:1/24:1)	ADA2010_Cat	0.4900974938232786	-0.0049967980960171	0.007238897717294	0.766924199171672
Hex2Cer(d18:2/16:0)	ADA2010_Cat	0.6189385134050056	0.0043971693753727	0.0088398386129106	0.8491144160041038
Hex2Cer(d18:2/18:0)	ADA2010_Cat	0.0798462804566002	0.0326277851726773	0.0186189584494866	0.33985852707168285
Hex2Cer(d18:2/24:1)	ADA2010_Cat	0.1757042725150701	-0.0129612503011242	0.0095687425594658	0.49363421412148384
Hex3Cer(d18:1/16:0)	ADA2010_Cat	0.932804677069888	-0.0006007581907133	0.0071242021961322	0.9828419704246455
Hex3Cer(d18:1/18:0)	ADA2010_Cat	0.492349178969517	-0.0110587745609142	0.016104392744273	0.766924199171672
